starter,challenge,iteration
equal,aides,7
equal,tires,7
equal,tiers,7
equal,liers,7
equal,tiles,7
equal,lites,7
equal,liars,7
equal,tines,8
equal,lines,8
equal,liens,7
equal,tides,7
equal,biers,8
equal,cites,7
equal,dines,8
equal,fires,7
equal,wires,7
equal,tiros,7
equal,times,7
equal,limes,7
equal,bites,8
equal,vires,7
equal,viers,7
equal,biles,8
equal,dials,7
equal,kites,7
equal,tikes,7
equal,likes,7
equal,files,7
equal,wiles,7
equal,dimes,7
equal,diems,7
equal,sires,7
equal,bides,8
equal,yipes,7
equal,lives,7
equal,fines,7
equal,wines,8
equal,dikes,7
equal,vines,8
equal,giros,7
equal,sites,7
equal,lints,8
equal,yikes,7
equal,dives,7
equal,wipes,7
equal,nixes,7
equal,gibes,7
equal,vials,7
equal,limos,7
equal,bikes,8
equal,girls,7
equal,nines,8
equal,sines,8
equal,sides,7
equal,kilos,7
equal,vibes,7
equal,gives,7
equal,shoes,7
equal,sound,9
equal,oinks,9
equal,fives,7
equal,views,7
equal,wives,7
equal,thous,7
equal,limns,7
equal,jibes,7
equal,winos,8
equal,tings,10
equal,lings,10
equal,fixes,7
equal,diary,9
equal,kikes,7
equal,links,9
equal,kilns,7
equal,tipsy,7
equal,virus,7
equal,fiefs,7
equal,fifes,7
equal,wises,7
equal,fiery,7
equal,limps,7
equal,silos,7
equal,firms,7
equal,limey,7
equal,jives,7
equal,tools,7
equal,loots,10
equal,sours,7
equal,dings,10
equal,vises,7
equal,ticks,8
equal,licks,8
equal,limbs,7
equal,tills,7
equal,dinks,9
equal,toons,7
equal,finds,7
equal,winds,8
equal,loons,7
equal,sixes,7
equal,didos,7
equal,sizes,7
equal,dishy,9
equal,moors,7
equal,films,7
equal,nicks,8
equal,tints,7
equal,round,9
equal,boors,7
equal,dicks,8
equal,dills,7
equal,situs,7
equal,cools,7
equal,pools,7
equal,gipsy,7
equal,looms,7
equal,cills,7
equal,gimps,7
equal,lisps,7
