word,weight
aback,58
abate,58
abhor,58
abide,58
abode,58
abort,58
about,58
above,58
abuse,58
abuzz,58
abyss,58
acorn,58
acrid,58
actor,58
acute,58
adage,58
adapt,58
adept,58
admit,58
adobe,58
adopt,58
adore,58
adorn,58
adult,58
aegis,58
afoot,58
afoul,58
after,58
again,58
agent,58
agile,58
aging,58
agony,58
agree,58
ahead,58
aioli,58
aisle,58
alarm,58
album,58
alert,58
algae,58
alias,58
alibi,58
alien,58
align,58
alike,58
alive,58
allay,58
alley,58
allow,58
alloy,58
aloft,58
alone,58
along,58
aloof,58
aloud,58
alpha,58
altar,58
alter,58
amass,58
amaze,58
amber,58
amble,58
amend,58
amino,58
amiss,58
among,58
ample,58
amply,58
amuse,58
angel,58
anger,58
angle,58
angry,58
angst,58
anime,58
anise,58
ankle,58
annex,58
annoy,58
annul,58
antic,58
antsy,58
anvil,58
aorta,58
apace,58
apart,58
apnea,58
apple,58
apply,58
apron,58
aptly,58
arena,58
argue,58
arise,58
armed,58
armor,58
aroma,58
arose,58
array,58
arrow,58
arson,58
artsy,58
ashen,58
aside,58
askew,58
asset,58
atone,58
attic,58
audio,58
audit,58
aural,58
avail,58
avert,58
avian,58
avoid,58
await,58
awake,58
award,58
aware,58
awash,58
awful,58
awoke,58
axiom,58
azure,58
bacon,58
badge,58
badly,58
bagel,58
baggy,58
baked,58
baker,58
balky,58
balmy,58
banal,58
banjo,58
barge,58
baron,58
basic,58
basil,58
basin,58
basis,58
baste,58
batch,58
bathe,58
baton,58
bawdy,58
beach,58
beard,58
beast,58
bebop,58
beech,58
beefy,58
began,58
begin,58
begun,58
beige,58
being,58
belch,58
belie,58
belle,58
belly,58
below,58
bench,58
beret,58
berry,58
berth,58
beset,58
bigot,58
biker,58
binge,58
bingo,58
birch,58
birth,58
bison,58
black,58
blade,58
blame,58
bland,58
blank,58
blare,58
blase,58
blast,58
blaze,58
bleak,58
bleed,58
blend,58
bless,58
blind,58
bling,58
blink,58
bliss,58
blitz,58
bloat,58
block,58
blond,58
blood,58
bloom,58
blown,58
bluff,58
blunt,58
blurb,58
blurt,58
blush,58
board,58
boast,58
bogey,58
bogus,58
bonus,58
boost,58
booth,58
booze,58
boozy,58
bored,58
borne,58
bosom,58
bossy,58
botch,58
bound,58
bowel,58
boxer,58
brace,58
braid,58
brain,58
brake,58
brand,58
brash,58
brass,58
brave,58
bravo,58
brawl,58
brawn,58
bread,58
break,58
breed,58
bribe,58
brick,58
bride,58
brief,58
brine,58
bring,58
brink,58
briny,58
brisk,58
broad,58
broil,58
broke,58
brood,58
